,time_stamp,AmbientConditions.AmbientHumidity.U.Actual,Stage1.Output.Measurement7.U.Setpoint,Stage2.Output.Measurement4.U.Actual
0,2019-03-06 10:52:41,17.24,2.97,0.0
1,2019-03-06 10:52:46,17.24,2.97,0.0
2,2019-03-06 10:52:47,17.24,2.97,0.0
3,2019-03-06 10:52:55,17.24,2.97,0.0
4,2019-03-06 10:52:56,17.24,2.97,0.0
5,2019-03-06 10:53:03,17.24,2.97,0.0
6,2019-03-06 10:53:08,17.24,2.97,0.0
7,2019-03-06 10:53:12,17.24,2.97,0.0
8,2019-03-06 10:53:19,17.24,2.97,0.0
9,2019-03-06 10:53:30,17.24,2.97,0.0
10,2019-03-06 10:53:40,17.24,2.97,0.0
11,2019-03-06 10:53:45,17.24,2.97,0.0
12,2019-03-06 10:53:51,17.24,2.97,0.0
13,2019-03-06 10:53:55,17.24,2.97,0.0
14,2019-03-06 10:53:59,17.24,2.97,0.0
15,2019-03-06 10:54:01,17.24,2.97,0.0
16,2019-03-06 10:54:02,17.24,2.97,0.0
17,2019-03-06 10:54:03,17.24,2.97,0.0
18,2019-03-06 10:54:07,17.24,2.97,0.0
19,2019-03-06 10:54:11,17.24,2.97,0.0
20,2019-03-06 10:54:12,17.24,2.97,0.0
21,2019-03-06 10:54:21,17.24,2.97,0.0
22,2019-03-06 10:54:29,17.24,2.97,0.0
23,2019-03-06 10:54:38,17.24,2.97,0.0
24,2019-03-06 10:54:39,17.24,2.97,0.0
25,2019-03-06 10:54:55,17.24,2.97,0.0
26,2019-03-06 10:55:04,17.24,2.97,0.0
27,2019-03-06 10:55:15,17.24,2.97,0.0
28,2019-03-06 10:55:16,17.24,2.97,0.0
29,2019-03-06 10:55:18,17.24,2.97,0.0
30,2019-03-06 10:55:32,17.24,2.97,0.0
31,2019-03-06 10:55:36,17.24,2.97,0.0
32,2019-03-06 10:55:45,17.24,2.97,0.0
33,2019-03-06 10:55:52,17.24,2.97,0.0
34,2019-03-06 10:55:54,17.24,2.97,0.0
35,2019-03-06 10:56:01,17.24,2.97,0.0
36,2019-03-06 10:56:04,17.24,2.97,0.0
37,2019-03-06 10:56:18,17.24,2.97,0.0
38,2019-03-06 10:56:27,17.24,2.97,0.0
39,2019-03-06 10:56:44,17.24,2.97,0.0
40,2019-03-06 10:56:52,17.24,2.97,0.0
41,2019-03-06 10:56:54,17.24,2.97,30.58
42,2019-03-06 10:57:00,17.24,2.97,0.0
43,2019-03-06 10:57:01,17.24,2.97,0.0
44,2019-03-06 10:57:09,17.24,2.97,29.97
45,2019-03-06 10:57:10,17.24,2.97,29.99
46,2019-03-06 10:57:11,17.24,2.97,29.94
47,2019-03-06 10:57:30,17.24,2.97,0.0
48,2019-03-06 10:57:32,17.24,2.97,0.0
49,2019-03-06 10:57:38,17.24,2.97,0.0
50,2019-03-06 10:57:39,17.24,2.97,0.0
51,2019-03-06 10:57:41,17.24,2.97,0.0
52,2019-03-06 10:57:42,17.24,2.97,0.0
53,2019-03-06 10:57:44,17.24,2.97,0.0
54,2019-03-06 10:57:47,17.24,2.97,30.11
55,2019-03-06 10:57:48,17.24,2.97,0.0
56,2019-03-06 10:57:51,17.24,2.97,0.0
57,2019-03-06 10:58:00,17.24,2.97,0.0
58,2019-03-06 10:58:02,17.24,2.97,0.0
59,2019-03-06 10:58:03,17.24,2.97,30.62
60,2019-03-06 10:58:08,17.24,2.97,30.38
61,2019-03-06 10:58:10,17.24,2.97,29.93
62,2019-03-06 10:58:13,17.24,2.97,0.0
63,2019-03-06 10:58:24,17.04,2.97,30.63
64,2019-03-06 10:58:27,17.04,2.97,30.07
65,2019-03-06 10:58:34,17.04,2.97,30.34
66,2019-03-06 10:58:42,17.04,2.97,29.95
67,2019-03-06 10:58:43,17.04,2.97,0.0
68,2019-03-06 10:58:44,17.04,2.97,0.0
69,2019-03-06 10:58:56,17.04,2.97,30.34
70,2019-03-06 10:58:57,17.04,2.97,0.0
71,2019-03-06 10:59:03,17.04,2.97,0.0
72,2019-03-06 10:59:10,17.04,2.97,0.0
73,2019-03-06 10:59:12,17.04,2.97,30.0
